,title,date,country,genre,rate
243,Catatonia,Thriller,USA,['Crime'],3.1
244,The Dead the Damned and the Darkness,7 October 2014 (USA),USA,"['Action', 'Horror']",3.1
245,Lily Grace: A Witch Story,3 November 2015 (USA),USA,[],3.1
246,Clowntergeist,12 September 2017 (USA),USA,"['Crime', 'Horror']",3.1
247,The Town Inside,14 August 2014 (USA),USA,"['Action', 'Drama']",3.1
248,Strip Club Massacre,2 May 2017 (USA),USA,['Horror'],3.1
249,Rudra Simhasanam,31 July 2015 (India),India,['Action'],3.1
250,Ravenswood,11 March 2017 (USA),Australia,['Horror'],3.1
251,Drone Wars,30 March 2016 (USA),USA,"['Action', 'Sci-Fi']",3.1
252,Christmas Apparition,2016 (USA),USA,[],3.1
253,Breaking Point,11 May 2017 (USA),USA,['Drama'],3.1
254,Dangerous Lies Vol. 1,1 March 2017 (USA),Italy,[],3.1
255,Of Silence,14 January 2014 (USA),USA,"['Drama', 'Horror']",3.2
256,Red Herring,30 October 2015 (USA),USA,"['Crime', 'Drama']",3.2
257,Awake in the Woods,19 May 2015 (USA),USA,['Horror'],3.2
258,Lords of London,6 January 2014 (UK),UK,"['Crime', 'Mystery']",3.2
259,The Ganzfeld Haunting,7 February 2014 (USA),USA,['Horror'],3.2
260,House of Bad,18 May 2013 (USA),USA,['Horror'],3.2
261,Huff,5 April 2013 (USA),USA,['Horror'],3.2
262,Kaufman's Game,20 November 2017 (UK),UK,['Crime'],3.2
263,In the Name of the King: The Last Mission,26 February 2014 (Japan),Canada,"['Action', 'Adventure']",3.2
264,Kick,9 January 2015 (USA),UK,"['Drama', 'Horror']",3.2
265,A Demon in My View,11 July 2013 (USA),USA,['Horror'],3.2
266,Kamikaze,1 December 2016 (USA),UK,['Action'],3.2
267,Extinction,12 November 2015 (Peru),UK,"['Action', 'Adventure']",3.2
268,Nasha,26 July 2013 (India),India,['Drama'],3.2
269,The Parricidal Effect,2014 (USA),USA,"['Action', 'Adventure']",3.2
270,Slender,5 April 2016 (USA),USA,[],3.2
271,Prophecy of Eve,22 July 2014 (USA),USA,['Action'],3.2
272,The Device,27 September 2014 (USA),USA,"['Horror', 'Sci-Fi']",3.2
273,Gangster,11 April 2014 (India),India,"['Action', 'Crime']",3.2
274,Appetites,4 August 2015 (USA),USA,['Horror'],3.2
275,Dark Beacon,13 October 2017 (USA),UK,['Horror'],3.2
276,Brooklyn Fever,9 September 2016 (USA),USA,[],3.2
277,The Man in the Shadows,31 October 2017 (USA),Canada,"['Drama', 'Horror']",3.2
278,Project Eden: Vol. I,5 January 2018 (UK),USA,"['Mystery', 'Sci-Fi']",3.2
279,The Perfect Weapon,9 September 2016 (USA),USA,"['Action', 'Drama']",3.2
280,Lailaa O Lailaa,14 May 2015 (India),India,['Action'],3.2
281,Prisoners of Time,January 2016 (Switzerland),Canada,"['Action', 'Drama']",3.2
282,Atomic Shark,5 November 2016 (USA),USA,"['Action', 'Sci-Fi']",3.2
283,Ezan,1 May 2015 (Turkey),Turkey,['Horror'],3.2
284,Cinayet-i Ask,28 July 2017 (Turkey),Turkey,"['Fantasy', 'Horror']",3.2
285,Curse of the Siren,8 October 2016 (USA),USA,[],3.2
286,Ghost Shark 2: Urban Jaws,27 June 2015 (New Zealand),New Zealand,"['Drama', 'Fantasy']",3.3
287,Blaze You Out,30 July 2013 (USA),USA,"['Action', 'Drama']",3.3
288,Phobia,1 September 2013 (USA),USA,['Horror'],3.3
289,Chill: The Killing Games,22 September 2015 (USA),USA,"['Horror', 'Mystery']",3.3
290,Windsor Drive,28 August 2015 (USA),USA,['Mystery'],3.3
291,Rabid Love,19 April 2013 (USA),USA,['Horror'],3.3
292,Zanjeer,6 September 2013 (India),India,['Action'],3.3
293,Black Water Creek,22 July 2014 (USA),USA,"['Crime', 'Horror']",3.3
294,Isabel,9 May 2013 (Czech Republic),Czech Republic,"['Drama', 'Fantasy']",3.3
295,Let Me Out,7 March 2015 (USA),USA,['Horror'],3.3
296,Intruder,24 June 2016 (USA),USA,"['Horror', 'Mystery']",3.3
297,Field Freak,4 May 2016 (Germany),USA,"['Comedy', 'Horror']",3.3
