,title,date,country,genre,rate
186,Pune Via Bihar,31 January 2014 (India),India,[],4.0
187,Direct Ishq,19 February 2016 (India),India,"['Action', 'Comedy']",4.0
188,Love Won't Let Me Wait,2015 (USA),USA,[],4.0
189,Slaba plec?,1 January 2016 (Poland),Poland,"['Comedy', 'Drama']",4.0
190,Rhythm,19 February 2016 (India),India,['Musical'],4.0
191,Thirunaal,5 August 2016 (India),India,"['Action', 'Drama']",4.0
192,Raabta,9 June 2017 (India),India,"['Action', 'Drama']",4.0
193,50 Kilo Albaloo,16 March 2016 (Iran),Iran,['Comedy'],4.0
194,Eski Sevgili,5 May 2017 (Turkey),Turkey,['Comedy'],4.0
195,Pappa pia,15 August 2017 (Hungary),Hungary,"['Comedy', 'Music']",4.0
196,Dos besos: Troika,7 August 2015 (Peru),Peru,['Drama'],4.0
197,Droomdag,24 April 2017 (South Africa),South Africa,['Comedy'],4.0
198,Autumn Sonata,19 October 2017 (South Korea),South Korea,"['Drama', 'Family']",4.0
199,Kimaat Mefursemet,22 June 2017 (Israel),Israel,"['Comedy', 'Drama']",4.0
200,Artax: Un Nuevo Comienzo,7 September 2017 (Chile),Chile,"['Drama', 'Romance']",4.0
201,The Abandoned Project X,27 September 2013 (USA),USA,"['Action', 'Sci-Fi']",1.0
202,6 elementov vremeni,10 June 2016 (Russia),Russia,"['Adventure', 'Drama']",1.0
203,Territoriya Dzha,13 December 2014 (Russia),Russia,['Comedy'],1.1
204,Qi che ren zong dong yuan,3 July 2015 (China),China,"['Animation', 'Adventure']",1.1
205,Browncoats: Independence War,30 December 2015 (USA),USA,"['Action', 'Sci-Fi']",1.2
206,Vzlomat blogerov,10 November 2016 (Russia),Russia,"['Animation', 'Comedy']",1.2
207,Captain Battle: Legacy War,13 January 2013 (India),USA,"['Action', 'Sci-Fi']",1.3
208,Shark Exorcist,14 August 2015 (USA),USA,"['Action', 'Comedy']",1.5
209,Monster: The Prehistoric Project,1 December 2016 (Germany),USA,['Horror'],1.5
210,Raiders of the Lost Shark,19 May 2015 (USA),USA,"['Action', 'Adventure']",1.6
211,Beyond the Call to Duty,June 2016 (USA),USA,"['Action', 'Drama']",1.7
212,The Forbidden Dimensions,Thriller,USA,['Horror'],1.7
213,Jurassic Prey,23 June 2015 (USA),USA,"['Action', 'Adventure']",1.7
214,Interstellar Wars,12 March 2016 (USA),USA,[],1.7
215,Perfect: Android Rising,8 July 2014 (USA),USA,"['Action', 'Drama']",1.9
216,Disaster Wars: Earthquake vs. Tsunami,13 December 2013 (Philippines),USA,"['Action', 'Drama']",1.9
217,90210 Shark Attack,1 October 2014 (USA),USA,"['Drama', 'Horror']",1.9
218,Gui zhen,17 January 2014 (China),China,['Horror'],1.9
219,Interstelar 2: Operation Terra 2040,9 May 2016 (Russia),Russia,"['Action', 'Comedy']",1.9
220,Alien Showdown: The Day the Old West Stood Still,Horror,USA,['Action'],2.0
221,Nosferatu vs. Father Pipecock & Sister Funk,9 March 2014 (Canada),Canada,"['Adventure', 'Comedy']",2.0
222,Aliens vs. Titanic,11 September 2018 (USA),USA,[],2.0
223,Lone Wolves,13 December 2016 (Canada),Australia,['Action'],2.0
224,Independents' Day,7 June 2016 (USA),USA,"['Action', 'Adventure']",2.0
225,Alongside Night,Drama,USA,['Action'],2.1
